"date	vehicle_category	maker	electric_vehicles_sold"
"10/1/2022	4-Wheelers	Mahindra & Mahindra	1051"
"10/1/2023	4-Wheelers	Mahindra & Mahindra	2027"
"11/1/2021	4-Wheelers	Mahindra & Mahindra	462"
"11/1/2022	4-Wheelers	Mahindra & Mahindra	1067"
"11/1/2023	4-Wheelers	Mahindra & Mahindra	1222"
"12/1/2021	4-Wheelers	Mahindra & Mahindra	552"
"12/1/2022	4-Wheelers	Mahindra & Mahindra	1260"
"12/1/2023	4-Wheelers	Mahindra & Mahindra	1015"
"1/1/2022	4-Wheelers	Mahindra & Mahindra	474"
"1/1/2023	4-Wheelers	Mahindra & Mahindra	967"
"1/1/2024	4-Wheelers	Mahindra & Mahindra	896"
"2/1/2022	4-Wheelers	Mahindra & Mahindra	478"
"2/1/2023	4-Wheelers	Mahindra & Mahindra	1531"
"2/1/2024	4-Wheelers	Mahindra & Mahindra	712"
"3/1/2022	4-Wheelers	Mahindra & Mahindra	701"
"3/1/2023	4-Wheelers	Mahindra & Mahindra	2745"
"3/1/2024	4-Wheelers	Mahindra & Mahindra	708"
"5/1/2021	4-Wheelers	Mercedes -Benz AG	0"
"4/1/2021	4-Wheelers	Mercedes -Benz AG	3"
"4/1/2022	4-Wheelers	Mercedes -Benz AG	8"
"4/1/2023	4-Wheelers	Mercedes -Benz AG	8"
"5/1/2022	4-Wheelers	Mercedes -Benz AG	4"
"5/1/2023	4-Wheelers	Mercedes -Benz AG	9"
"6/1/2021	4-Wheelers	Mercedes -Benz AG	2"
"6/1/2022	4-Wheelers	Mercedes -Benz AG	2"
"6/1/2023	4-Wheelers	Mercedes -Benz AG	14"
"7/1/2021	4-Wheelers	Mercedes -Benz AG	1"
"7/1/2022	4-Wheelers	Mercedes -Benz AG	1"
"7/1/2023	4-Wheelers	Mercedes -Benz AG	23"
"8/1/2021	4-Wheelers	Mercedes -Benz AG	2"
"8/1/2022	4-Wheelers	Mercedes -Benz AG	3"
"8/1/2023	4-Wheelers	Mercedes -Benz AG	8"
"9/1/2021	4-Wheelers	Mercedes -Benz AG	2"
"9/1/2022	4-Wheelers	Mercedes -Benz AG	3"
"9/1/2023	4-Wheelers	Mercedes -Benz AG	41"
"10/1/2021	4-Wheelers	Mercedes -Benz AG	3"
"10/1/2022	4-Wheelers	Mercedes -Benz AG	4"
"10/1/2023	4-Wheelers	Mercedes -Benz AG	18"
"11/1/2021	4-Wheelers	Mercedes -Benz AG	2"
"11/1/2022	4-Wheelers	Mercedes -Benz AG	4"
"11/1/2023	4-Wheelers	Mercedes -Benz AG	35"
"12/1/2021	4-Wheelers	Mercedes -Benz AG	1"
"12/1/2022	4-Wheelers	Mercedes -Benz AG	6"
"12/1/2023	4-Wheelers	Mercedes -Benz AG	51"
"1/1/2022	4-Wheelers	Mercedes -Benz AG	2"
"1/1/2023	4-Wheelers	Mercedes -Benz AG	14"
"1/1/2024	4-Wheelers	Mercedes -Benz AG	29"
"2/1/2022	4-Wheelers	Mercedes -Benz AG	3"
"2/1/2023	4-Wheelers	Mercedes -Benz AG	12"
"2/1/2024	4-Wheelers	Mercedes -Benz AG	24"
"3/1/2022	4-Wheelers	Mercedes -Benz AG	5"
